Date,Visits,Orders,va_closer_id,Marketing Channel,Units,BasePrice,Revenue,DiscountTotal
2019-01-10,5680,60,6,Direct,216,8652,25367.68,8042.45
2019-01-10,1114,10,7,Session Refresh,30,1340,3850.52,679
2019-01-10,34,0,8,Organic Social,0,0,0,0
2019-01-10,1632,11,9,Referring Domain,44,1771,5698.72,1813
2019-01-11,6467,27,1,Paid Search,95,4906,16006.08,2669.1
2019-01-11,28203,92,2,Organic Search,305,13696,42770.87,7520.45
2019-01-11,99,0,3,Display,0,0,0,0
2019-01-11,523,3,4,Email,9,436,891.99,443.45
2019-01-11,645,33,5,Affiliate,117,4521,15668.3,1739.6
2019-01-11,5145,34,6,Direct,122,4631,13709.91,4316
2019-01-11,1028,6,7,Session Refresh,22,1469,4571.08,719.6
2019-01-11,43,0,8,Organic Social,0,0,0,0
2019-01-11,1686,8,9,Referring Domain,30,1491,4282.24,1476.6
2019-01-12,6295,20,1,Paid Search,77,2988,11444.78,1129.8
2019-01-12,27345,75,2,Organic Search,255,10634,33076.6,4883.25
2019-01-12,81,1,3,Display,4,114,497.04,0
2019-01-12,378,4,4,Email,14,668,1800.85,621.5
2019-01-12,534,22,5,Affiliate,80,2961,10711.88,969
2019-01-12,4237,41,6,Direct,155,6984,21906.88,6400.6
2019-01-12,1030,5,7,Session Refresh,18,931,2953.33,791
2019-01-12,40,1,8,Organic Social,4,70,302.05,0
2019-01-12,1340,6,9,Referring Domain,24,1051,4108.05,433.8
2019-01-13,5591,12,1,Paid Search,48,1944,7802.16,574.4
2019-01-13,1,0,15,none,0,0,0,0
2019-01-13,24366,55,2,Organic Search,192,7630,25347.3,3348.05
2019-01-13,80,0,3,Display,0,0,0,0
2019-01-13,195,2,4,Email,6,248,644.32,229.6
2019-01-13,465,22,5,Affiliate,82,3159,9776.47,1715.7
2019-01-13,4071,32,6,Direct,117,4981,15594.28,3605.2
2019-01-13,950,2,7,Session Refresh,8,314,1345.16,0
2019-01-13,39,0,8,Organic Social,0,0,0,0
2019-01-13,1261,4,9,Referring Domain,16,620,1967.58,662.6
2019-01-14,7355,37,1,Paid Search,141,5342,18933.07,3059.1
2019-01-14,1,0,15,none,0,0,0,0
2019-01-14,31654,97,2,Organic Search,358,15922,53792.13,9306.6
2019-01-14,114,2,3,Display,8,348,1172.43,317.8
2019-01-14,1506,8,4,Email,26,1293,3736.61,1012.45
2019-01-14,692,33,5,Affiliate,113,4503,15388.03,1348.7
2019-01-14,5866,69,6,Direct,260,11328,32940.21,11124.9
2019-01-14,1176,13,7,Session Refresh,48,2111,6421.98,1690.6
2019-01-14,60,0,8,Organic Social,0,0,0,0
2019-01-14,1683,18,9,Referring Domain,62,3249,8117.3,2811.5
2019-01-15,9348,34,1,Paid Search,126,5396,17669.79,3938.55
2019-01-15,29946,97,2,Organic Search,342,15098,47525.78,10113.5
2019-01-15,110,0,3,Display,0,0,0,0
2019-01-15,673,4,4,Email,9,496,923.49,271.4
2019-01-15,745,31,5,Affiliate,104,4298,14556.21,1215.2
2019-01-15,5864,85,6,Direct,299,14909,42884.75,12631.65
2019-01-15,1360,11,7,Session Refresh,40,1471,4177.53,1431.5
2019-01-15,51,1,8,Organic Social,4,185,815.67,0
2019-01-15,1881,9,9,Referring Domain,30,1640,4705.8,587.2
2019-01-16,9874,31,1,Paid Search,111,4992,16461.32,2954.25
2019-01-16,29516,83,2,Organic Search,305,13462,44489.93,7846.75
2019-01-16,110,0,3,Display,0,0,0,0
2019-01-16,473,7,4,Email,28,1030,2856.92,1442
2019-01-16,614,26,5,Affiliate,94,3838,13422.86,1680.05
2019-01-16,6045,69,6,Direct,253,11870,35021.52,9998.3
2019-01-16,1572,5,7,Session Refresh,16,752,1738.2,664.3
2019-01-16,142,1,8,Organic Social,4,101,296.29,141.4
2019-01-16,2094,13,9,Referring Domain,41,1911,5560.99,1158.05
2019-01-17,9602,36,1,Paid Search,136,5947,20831.73,3811.5
2019-01-17,28810,86,2,Organic Search,314,14508,46553.76,10168.55
2019-01-17,87,1,3,Display,4,175,505.29,245
2019-01-17,503,2,4,Email,8,455,1241.76,637
2019-01-17,610,33,5,Affiliate,116,5007,17020.58,2493.45
2019-01-17,5478,70,6,Direct,259,11228,33340.73,11246.9
2019-01-17,1511,5,7,Session Refresh,13,674,1735.93,292.25
2019-01-17,44,0,8,Organic Social,0,0,0,0
2019-01-17,1947,12,9,Referring Domain,35,1968,4679.66,1564.95
2019-01-18,9687,30,1,Paid Search,111,4649,16339.63,1647.2
2019-01-18,28347,62,2,Organic Search,224,9787,34300.02,4236.95
2019-01-18,91,0,3,Display,0,0,0,0
2019-01-18,481,4,4,Email,16,626,1745.22,876.4
2019-01-18,555,19,5,Affiliate,64,2507,8317.03,964.15
2019-01-18,5218,54,6,Direct,198,8834,25314.1,8884.15
2019-01-18,1451,10,7,Session Refresh,34,1531,4480.76,1215.2
2019-01-18,38,1,8,Organic Social,3,142,309.32,149.1
2019-01-18,1931,17,9,Referring Domain,65,2454,8115.75,1791.25
2019-01-19,9205,27,1,Paid Search,98,3794,14038.72,1156.4
2019-01-19,26069,49,2,Organic Search,177,7478,26251.26,2731.35
2019-01-19,72,0,3,Display,0,0,0,0
2019-01-19,311,3,4,Email,10,518,1582.74,357.7
2019-01-19,469,16,5,Affiliate,54,2520,8266.04,601.3
2019-01-19,4170,32,6,Direct,126,5118,16997.31,4429
2019-01-19,1293,3,7,Session Refresh,10,645,1475.02,204.1
2019-01-19,45,1,8,Organic Social,4,69,201.34,96.6
2019-01-19,1619,3,9,Referring Domain,12,354,1247.02,266.6
2019-01-20,8448,28,1,Paid Search,97,4362,15446.25,1281.25
2019-01-20,22762,46,2,Organic Search,173,6908,26274.36,2172.8
2019-01-20,87,1,3,Display,4,175,739.1,0
2019-01-20,177,1,4,Email,4,115,322.7,161
2019-01-20,397,20,5,Affiliate,71,2838,10333.1,962.75
2019-01-20,3703,32,6,Direct,118,5018,15155.07,4006.25
2019-01-20,1105,3,7,Session Refresh,7,375,783.84,145.5
2019-01-20,56,0,8,Organic Social,0,0,0,0
2019-01-20,1465,6,9,Referring Domain,21,997,3170.98,416.8
2019-01-21,10304,34,1,Paid Search,127,5072,16435.81,3409.6
2019-01-21,30894,79,2,Organic Search,293,12601,40792.35,8717.2
2019-01-21,96,1,3,Display,4,109,377.46,87.2
2019-01-21,585,7,4,Email,24,825,2144.03,882.9
2019-01-21,658,33,5,Affiliate,121,5092,17552.41,2371.15
2019-01-21,5344,60,6,Direct,218,9549,28034.75,9134.75
2019-01-21,1431,13,7,Session Refresh,48,1919,5646.57,1699.2
2019-01-21,62,0,8,Organic Social,0,0,0,0
2019-01-21,1822,12,9,Referring Domain,46,1856,6530.83,799.4
2019-01-22,9850,27,1,Paid Search,84,4722,13969.51,2091.8
2019-01-22,28730,89,2,Organic Search,340,14262,49928.78,9150.8
2019-01-22,72,0,3,Display,0,0,0,0
2019-01-22,433,6,4,Email,24,1060,3502.22,961
2019-01-22,660,28,5,Affiliate,94,4308,12623.81,2237.5
2019-01-22,5303,60,6,Direct,215,11255,30704.92,9110.3
2019-01-22,1479,8,7,Session Refresh,27,1105,3343.78,573.3
2019-01-22,38,0,8,Organic Social,0,0,0,0
2019-01-22,1892,10,9,Referring Domain,34,1738,4677.86,1390.6
2019-01-23,9192,33,1,Paid Search,126,5354,20408.11,2077.6
2019-01-23,27765,97,2,Organic Search,353,14839,48698.68,9167
2019-01-23,67,0,3,Display,0,0,0,0
2019-01-23,426,7,4,Email,26,1115,3302.88,1233.4
2019-01-23,569,22,5,Affiliate,81,3246,11775.08,1085.5
2019-01-23,5162,60,6,Direct,230,10290,32161.72,9527
2019-01-23,1371,7,7,Session Refresh,28,996,3960.72,358.4
2019-01-23,34,1,8,Organic Social,4,161,464.02,225.4
2019-01-23,1484,12,9,Referring Domain,44,1515,4541.26,1361.8
2019-01-24,9280,29,1,Paid Search,105,4495,14818.06,2672
2019-01-24,27236,70,2,Organic Search,235,10617,31545.98,6729.8
2019-01-24,77,1,3,Display,5,260,934.79,455
2019-01-24,354,6,4,Email,18,683,1963.01,741.4
2019-01-24,585,15,5,Affiliate,48,2293,6775.18,590.4
2019-01-24,5065,50,6,Direct,181,7393,20996.15,7540.85
2019-01-24,1364,5,7,Session Refresh,22,695,2808.77,513.8
2019-01-24,47,1,8,Organic Social,4,126,346.97,176.4
2019-01-24,1601,12,9,Referring Domain,41,1878,4985.11,1447.8
2019-01-25,9315,23,1,Paid Search,82,3882,13114.12,1950.4
2019-01-25,26866,67,2,Organic Search,242,9733,30616.44,6567.1
2019-01-25,60,1,3,Display,4,120,337.33,168
2019-01-25,377,6,4,Email,21,758,2026.23,818.65
2019-01-25,546,18,5,Affiliate,66,2592,9081.09,1304.4
2019-01-25,5071,49,6,Direct,172,7066,20187.74,5899.15
2019-01-25,1378,11,7,Session Refresh,36,1826,4857.24,1781.4
2019-01-25,45,0,8,Organic Social,0,0,0,0
2019-01-25,1349,10,9,Referring Domain,32,1526,4105.35,1204.8
2019-01-26,9381,25,1,Paid Search,91,4085,15090.21,1064.4
2019-01-26,26197,62,2,Organic Search,215,10192,30960.36,5608.5
2019-01-26,51,0,3,Display,0,0,0,0
2019-01-26,353,8,4,Email,32,1616,4361.76,1577.2
2019-01-26,472,15,5,Affiliate,56,2223,7979.68,925.2
2019-01-26,4013,30,6,Direct,104,5133,15670.38,3996.55
2019-01-26,1279,6,7,Session Refresh,20,819,2722.61,371
2019-01-26,34,0,8,Organic Social,0,0,0,0
2019-01-26,1174,7,9,Referring Domain,28,1156,3940.28,1002.2
2019-01-27,8533,27,1,Paid Search,101,4332,14201.69,3015
2019-01-27,23737,46,2,Organic Search,168,7387,24916.39,2476.2
2019-01-27,65,1,3,Display,4,210,902.8,0
2019-01-27,191,3,4,Email,7,525,1536.01,199.8
2019-01-27,401,14,5,Affiliate,53,1919,6985.26,756.45
2019-01-27,3743,34,6,Direct,120,5210,15227.89,5639.9
2019-01-27,1118,3,7,Session Refresh,12,413,1245.71,496.2
2019-01-27,34,0,8,Organic Social,0,0,0,0
2019-01-27,1156,8,9,Referring Domain,25,1303,4123.25,470.2
2019-01-28,10212,29,1,Paid Search,104,4567,14347.1,2836.9
2019-01-28,30923,64,2,Organic Search,226,10292,34344.35,4949.5
2019-01-28,74,0,3,Display,0,0,0,0
2019-01-28,499,6,4,Email,21,1009,2551.64,1195.6
2019-01-28,572,28,5,Affiliate,91,4085,12603.42,1607.9
2019-01-28,5418,56,6,Direct,200,8981,25903.26,8161.2
2019-01-28,1490,10,7,Session Refresh,33,1417,3776.04,1020
2019-01-28,60,2,8,Organic Social,4,160,357.9,0
2019-01-28,1660,6,9,Referring Domain,21,743,2367.53,488.9
2019-01-29,9742,27,1,Paid Search,97,4032,12519.89,2681.75
2019-01-29,29160,83,2,Organic Search,298,12232,41373.98,5934.5
2019-01-29,75,0,3,Display,0,0,0,0
2019-01-29,361,6,4,Email,24,968,3024.03,1052.8
2019-01-29,578,22,5,Affiliate,84,3270,11858.87,1571.2
2019-01-29,5165,49,6,Direct,185,8117,23574.2,8018.6
2019-01-29,1446,3,7,Session Refresh,12,404,1270.75,452
2019-01-29,64,1,8,Organic Social,4,170,622.8,102
2019-01-29,1486,12,9,Referring Domain,46,1674,6174.79,849.6
2019-01-30,9340,30,1,Paid Search,106,4905,15735.34,3488
2019-01-30,28372,71,2,Organic Search,249,11398,36179.85,6632.9
2019-01-30,61,1,3,Display,4,94,270.34,131.6
2019-01-30,379,8,4,Email,29,1112,3252.37,1177.4
2019-01-30,485,21,5,Affiliate,84,3132,11979.5,1715.4
2019-01-30,5242,54,6,Direct,191,9097,25070.01,8416.8
2019-01-30,1467,7,7,Session Refresh,26,1115,3833.87,552.8
2019-01-30,83,0,8,Organic Social,0,0,0,0
2019-01-30,1297,7,9,Referring Domain,28,1101,4444.91,300.6
2019-01-31,9803,20,1,Paid Search,79,3435,12437.53,2249.4
2019-01-31,28354,67,2,Organic Search,234,10699,30840.86,6386.95
2019-01-31,92,1,3,Display,4,139,391.21,194.6
2019-01-31,448,5,4,Email,15,775,1858.34,379.4
2019-01-31,582,22,5,Affiliate,77,3085,9605.15,2029.35
2019-01-31,5585,40,6,Direct,142,6289,17614.11,5611.85
2019-01-31,1458,8,7,Session Refresh,24,1136,3127.21,452.95
2019-01-31,38,0,8,Organic Social,0,0,0,0
2019-01-31,1525,12,9,Referring Domain,45,1885,5971.06,1693.8
2019-02-01,9899,29,1,Paid Search,108,4311,15978.84,1361.1
2019-02-01,2,0,15,none,0,0,0,0
2019-02-01,28946,72,2,Organic Search,259,11423,37986.7,4591.2
2019-02-01,90,0,3,Display,0,0,0,0
2019-02-01,436,8,4,Email,21,1070,2076.3,889
2019-02-01,603,25,5,Affiliate,88,3777,12187.47,1864.85
2019-02-01,6047,38,6,Direct,131,6340,18466.12,5517.7
2019-02-01,1406,6,7,Session Refresh,18,1114,2779.69,596.3
2019-02-01,45,0,8,Organic Social,0,0,0,0
2019-02-01,1453,10,9,Referring Domain,35,1531,4418.09,1256.45
2019-02-02,8307,28,1,Paid Search,101,4727,16471.98,1414.95
2019-02-02,26734,50,2,Organic Search,180,7169,23518.44,4409.2
2019-02-02,78,0,3,Display,0,0,0,0
2019-02-02,335,4,4,Email,16,708,2230.22,768.6
2019-02-02,554,21,5,Affiliate,77,3046,10416.24,1586
2019-02-02,4642,33,6,Direct,115,4860,13042.32,5028.2
2019-02-02,1153,5,7,Session Refresh,20,833,2716.07,835.8
2019-02-02,44,0,8,Organic Social,0,0,0,0
2019-02-02,1121,5,9,Referring Domain,16,708,2082.74,362
2019-02-03,6989,18,1,Paid Search,67,2963,10514.11,1399.4
2019-02-03,21840,44,2,Organic Search,158,7374,24459.4,3816.8
2019-02-03,57,0,3,Display,0,0,0,0
2019-02-03,159,1,4,Email,4,162,718.24,0
2019-02-03,414,13,5,Affiliate,47,2060,7005.17,1076.2
2019-02-03,3790,28,6,Direct,109,4321,15031.31,3039.1
2019-02-03,1045,3,7,Session Refresh,9,387,741.89,364.35
2019-02-03,40,0,8,Organic Social,0,0,0,0
2019-02-03,992,3,9,Referring Domain,8,319,745.9,230.5
2019-02-04,9352,34,1,Paid Search,119,5327,16329.32,3664.4
2019-02-04,30064,78,2,Organic Search,275,12361,39301.53,6815.7
2019-02-04,111,0,3,Display,0,0,0,0
2019-02-04,458,5,4,Email,18,850,2273.98,1131.2
2019-02-04,611,27,5,Affiliate,99,3900,13460.4,1835.8
2019-02-04,6307,50,6,Direct,172,8757,22390.9,8288.65
2019-02-04,1429,5,7,Session Refresh,20,920,3015.36,889.4
2019-02-04,48,0,8,Organic Social,0,0,0,0
2019-02-04,1581,6,9,Referring Domain,19,906,2583.55,649.6
2019-02-05,9081,32,1,Paid Search,118,5397,18626.14,2928.2
2019-02-05,28422,71,2,Organic Search,259,12006,39889.29,7553.6
2019-02-05,76,0,3,Display,0,0,0,0
2019-02-05,423,5,4,Email,19,1121,3409.08,1353.8
2019-02-05,618,35,5,Affiliate,124,5300,17559.35,2369.75
2019-02-05,6236,63,6,Direct,228,10280,29381.52,9919.05
2019-02-05,1323,7,7,Session Refresh,24,1034,2859.93,884.1
2019-02-05,263,0,8,Organic Social,0,0,0,0
2019-02-05,1695,9,9,Referring Domain,31,1682,4570.98,1642.5
2019-02-06,8510,28,1,Paid Search,106,4662,15580.56,3454.3
2019-02-06,25871,65,2,Organic Search,226,10286,32436.85,5440.9
2019-02-06,58,1,3,Display,4,129,555.1,0
2019-02-06,349,5,4,Email,17,714,2290.55,464.8
2019-02-06,553,15,5,Affiliate,56,2175,7490.15,1365
2019-02-06,5063,36,6,Direct,126,5601,16654.43,4322.95
2019-02-06,1442,5,7,Session Refresh,18,766,2667.31,347.6
2019-02-06,104,0,8,Organic Social,0,0,0,0
2019-02-06,1533,6,9,Referring Domain,22,859,2730.62,538.4
2019-02-07,9712,25,1,Paid Search,89,4117,14080.36,2070
2019-02-07,28437,73,2,Organic Search,267,12275,40901.95,6712.05
2019-02-07,58,0,3,Display,0,0,0,0
2019-02-07,395,7,4,Email,21,940,2221.64,862.3
2019-02-07,671,22,5,Affiliate,70,3518,10326.64,1986.65
2019-02-07,5436,51,6,Direct,181,8411,24520.21,8341
2019-02-07,1359,4,7,Session Refresh,16,503,2102.21,70.8
2019-02-07,91,0,8,Organic Social,0,0,0,0
2019-02-07,1834,13,9,Referring Domain,45,2082,6137.67,1662.2
2019-02-08,9906,25,1,Paid Search,87,3994,12247.55,2787.2
2019-02-08,28639,70,2,Organic Search,234,11158,33488.71,5300.25
2019-02-08,64,0,3,Display,0,0,0,0
2019-02-08,371,4,4,Email,16,669,1896.32,936.6
2019-02-08,678,27,5,Affiliate,92,3714,11971.42,1600.3
2019-02-08,5576,48,6,Direct,180,7260,21706.96,7042
2019-02-08,1383,6,7,Session Refresh,15,842,1578.5,679.2
2019-02-08,115,0,8,Organic Social,0,0,0,0
2019-02-08,1637,3,9,Referring Domain,12,605,1677.01,847
2019-02-09,9972,29,1,Paid Search,109,4703,16713.37,2250.6
2019-02-09,27542,49,2,Organic Search,173,6704,22806.11,2825
2019-02-09,51,1,3,Display,4,90,396.18,0
2019-02-09,307,4,4,Email,14,440,1298.93,441
2019-02-09,533,25,5,Affiliate,89,3432,11440.75,1721.95
2019-02-09,4639,25,6,Direct,87,3650,10583.75,3140.65
2019-02-09,1199,6,7,Session Refresh,20,1032,3154.97,415.9
2019-02-09,202,0,8,Organic Social,0,0,0,0
2019-02-09,1473,5,9,Referring Domain,17,631,2466.55,0
2019-02-10,9491,21,1,Paid Search,73,3094,9924.69,2262
2019-02-10,26046,48,2,Organic Search,172,7301,25685.58,1988.4
2019-02-10,49,0,3,Display,0,0,0,0
2019-02-10,164,1,4,Email,4,78,216.95,109.2
2019-02-10,514,24,5,Affiliate,86,3789,13374.79,1016.75
2019-02-10,4368,29,6,Direct,116,4255,14082.46,3842.8
2019-02-10,1210,5,7,Session Refresh,20,708,2337.83,680.2
2019-02-10,45,0,8,Organic Social,0,0,0,0
2019-02-10,1303,5,9,Referring Domain,13,793,1730.68,527.4
2019-02-11,10400,35,1,Paid Search,136,6471,21616.42,4325.25
2019-02-11,32713,99,2,Organic Search,347,14461,45048.76,9708.55
2019-02-11,94,0,3,Display,0,0,0,0
2019-02-11,568,4,4,Email,11,490,1189.16,340.2
2019-02-11,796,36,5,Affiliate,126,5799,19002.68,2453.25
2019-02-11,7339,57,6,Direct,208,9374,28511.89,7462.1
2019-02-11,1658,5,7,Session Refresh,15,695,1751.44,569.45
2019-02-11,72,0,8,Organic Social,0,0,0,0
2019-02-11,2013,12,9,Referring Domain,41,1790,5345.37,1505.6
2019-02-12,9463,27,1,Paid Search,102,3940,13008.98,2938.8
2019-02-12,30717,84,2,Organic Search,303,13268,42135.7,7058.2
2019-02-12,75,0,3,Display,0,0,0,0
2019-02-12,482,2,4,Email,8,342,958.63,478.8
2019-02-12,911,35,5,Affiliate,131,5598,20301.2,2110.1
2019-02-12,5820,59,6,Direct,223,10517,33404.3,8651.65
2019-02-12,1558,5,7,Session Refresh,20,802,2981.45,359.4
2019-02-12,380,1,8,Organic Social,4,83,231.91,116.2
2019-02-12,1831,8,9,Referring Domain,31,1189,3922.75,968.4
2019-02-13,9211,35,1,Paid Search,121,6455,20935.06,2618
2019-02-13,29547,80,2,Organic Search,279,13231,42892.63,6007.9
2019-02-13,74,1,3,Display,2,195,271.75,136.5
2019-02-13,440,5,4,Email,15,572,1274.89,598.5
2019-02-13,749,29,5,Affiliate,114,4041,15196.16,1926.05
2019-02-13,5523,63,6,Direct,228,9985,31084.84,8010.8
2019-02-13,1421,7,7,Session Refresh,26,1147,3780.65,769.1
2019-02-13,63,0,8,Organic Social,0,0,0,0
2019-02-13,1841,6,9,Referring Domain,19,1354,3495.01,756.95
2019-02-14,8245,28,1,Paid Search,94,4496,13569.32,1961.8
2019-02-14,26430,73,2,Organic Search,243,10499,32464.37,5531.6
2019-02-14,437,0,3,Display,0,0,0,0
2019-02-14,412,10,4,Email,36,1526,4378.24,1476.6
2019-02-14,653,20,5,Affiliate,80,2790,10924.81,1101
2019-02-14,5092,50,6,Direct,172,7834,22559.67,7133.05
2019-02-14,1260,6,7,Session Refresh,24,942,3597.59,455
2019-02-14,28,0,8,Organic Social,0,0,0,0
2019-02-14,1541,9,9,Referring Domain,36,1638,5883.93,1109
2019-02-15,7960,29,1,Paid Search,110,4656,16800.94,2305.2
2019-02-15,28690,116,2,Organic Search,435,17391,60428.42,10239.65
2019-02-15,371,1,3,Display,4,106,415.61,50
2019-02-15,985,16,4,Email,59,2368,7347.28,2058
2019-02-15,861,30,5,Affiliate,115,4109,15038.71,2000.4
2019-02-15,6110,71,6,Direct,262,11661,35870.93,9269.95
2019-02-15,1195,12,7,Session Refresh,44,1972,5694.89,2114.6
2019-02-15,55,0,8,Organic Social,0,0,0,0
2019-02-15,1681,13,9,Referring Domain,51,2001,7269.74,1324.3
2019-02-16,7489,37,1,Paid Search,133,6475,20228.29,2843.9
2019-02-16,27791,102,2,Organic Search,396,15416,54489.3,9416.4
2019-02-16,339,1,3,Display,4,185,734.6,50
2019-02-16,510,8,4,Email,31,983,3152.05,885.3
2019-02-16,676,15,5,Affiliate,54,2147,7698.21,802.6
2019-02-16,4898,56,6,Direct,218,8468,28596.88,6906.4
2019-02-16,1096,2,7,Session Refresh,8,271,940.44,239
2019-02-16,27,0,8,Organic Social,0,0,0,0
2019-02-16,1313,9,9,Referring Domain,36,1416,5237.04,767.8
2019-02-17,8483,17,1,Paid Search,70,2286,8463.08,1754.2
2019-02-17,26255,75,2,Organic Search,287,10770,38986.2,5276.3
2019-02-17,321,1,3,Display,4,185,759.52,50
2019-02-17,204,5,4,Email,20,920,3152.19,791.2
2019-02-17,579,25,5,Affiliate,83,3592,11056.58,1640.35
2019-02-17,4268,38,6,Direct,140,6243,20311.15,4948.4
2019-02-17,1065,11,7,Session Refresh,41,1794,5299.87,1409.1
2019-02-17,35,1,8,Organic Social,4,117,444.54,50
2019-02-17,1291,4,9,Referring Domain,16,629,2484.27,200
2019-02-18,9510,60,1,Paid Search,225,9297,32533.09,5297.2
2019-02-18,1,0,15,none,0,0,0,0
2019-02-18,32710,177,2,Organic Search,667,26563,91698.6,14359.95
2019-02-18,306,1,3,Display,5,127,608.28,62.5
